setting,regime,signal,arm,seed,rep,device,test_acc,test_auc,test_dp,test_eo,secs
german,saturated,uniform,across,28,0,cuda,0.556,0.6270476190476191,0.027550463720676488,0.04726890756302521,3.2
german,saturated,uniform,across,29,0,cuda,0.572,0.5946666666666667,0.02782324058919805,0.02626050420168069,2.7
german,saturated,uniform,across,30,0,cuda,0.544,0.5860571428571428,0.0,0.03256302521008403,2.6
german,saturated,uniform,across,31,0,cuda,0.684,0.6288761904761905,0.047326786688488776,0.04726890756302515,3.9
german,saturated,uniform,across,32,0,cuda,0.588,0.6116571428571429,0.028096017457719502,0.031512605042016806,3.2
german,saturated,uniform,across,33,0,cuda,0.552,0.5779047619047619,0.004228041462084053,0.006302521008403339,3.0
german,saturated,uniform,across,34,0,cuda,0.6,0.5652571428571429,0.024822695035461084,0.027310924369747913,4.8
german,saturated,uniform,across,35,0,cuda,0.536,0.5743238095238096,0.008456082924167996,0.005252100840336227,2.5
german,saturated,uniform,across,36,0,cuda,0.692,0.5915428571428571,0.055919258046917664,0.05567226890756294,3.7
nba,saturated,uniform,within,27,0,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.8
nba,saturated,uniform,within,27,1,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,3.2
nba,saturated,uniform,within,27,2,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,3.3
nba,saturated,uniform,within,27,3,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,3.0
nba,saturated,uniform,within,27,4,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.8
nba,saturated,uniform,within,27,5,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.5
nba,saturated,uniform,within,27,6,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,3.2
nba,saturated,uniform,within,27,7,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.5
nba,saturated,uniform,within,27,8,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.8
nba,saturated,uniform,within,27,9,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.7
nba,saturated,uniform,across,27,0,cuda,0.7511737089201878,0.7783960431019255,0.05458947831829186,0.07013769363166955,2.9
nba,saturated,uniform,across,28,0,cuda,0.7183098591549296,0.7851969616675499,0.1266784063394233,0.012478485370051695,2.7
nba,saturated,uniform,across,29,0,cuda,0.7136150234741784,0.7730083024200671,0.0488663878494387,0.0034423407917384408,2.1
nba,saturated,uniform,across,30,0,cuda,0.7136150234741784,0.7858152269916976,0.14362755888179624,0.012478485370051695,2.4
nba,saturated,uniform,across,31,0,cuda,0.7183098591549296,0.775039745627981,0.0423728813559322,0.008605851979345935,2.3
nba,saturated,uniform,across,32,0,cuda,0.7230046948356808,0.7753930400989224,0.020360994937266064,0.05679862306368333,2.2
nba,saturated,uniform,across,33,0,cuda,0.7183098591549296,0.7756580109521286,0.07627118644067798,0.027108433734939763,3.0
nba,saturated,uniform,across,34,0,cuda,0.755868544600939,0.7776894541600424,0.0610829848117983,0.07013769363166955,1.5
nba,saturated,uniform,across,35,0,cuda,0.7230046948356808,0.775746334569864,0.02289236187541277,0.03270223752151458,2.2
nba,saturated,uniform,across,36,0,cuda,0.6807511737089202,0.7725666843313902,0.030816640986132515,0.06712564543889843,2.1
