cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
FairGB/Bail,20,3,150,1162,44,True,0.017071065714032052,0.0003371645967109038,-0.09928315412186373,0.07486318505049383,-0.02394677400338746,0.018340578052314482
FairGB/Bail,20,4,200,1272,53,True,0.02684536600821008,-0.03549933429761931,-0.07235567757187522,0.05604151552163783,0.0012336342173899784,0.019827651948448155
FairGB/Bail,21,0,100,1025,112,True,-0.017214844814233188,0.0004882616018717645,-0.013710149119629755,0.019723660969838352,-0.07633282123948737,0.01060002380589764
FairGB/Bail,21,1,100,629,64,True,0.019114297784022627,-0.0762347377830408,-0.09724453136298994,0.03955446271960028,-0.23863435493420848,-0.04015133383419578
FairGB/Bail,21,2,150,1437,194,True,0.01748135750429336,-0.001378018671066128,0.008067127511298233,0.07180364615379908,-0.016259578406406128,-0.031440423181824606
FairGB/Bail,21,3,50,1001,89,True,0.006246785776602315,-0.01803154766352988,-0.0497927223067659,0.07348097332806813,0.019505134830620996,0.006331600793017977
FairGB/Bail,21,4,100,853,49,True,0.008899859339461802,-0.11789829068918539,-0.1005108028858891,0.03421789526529584,-0.15503832799682687,-0.06036074893865373
FairGB/Bail,22,0,100,1207,81,True,-0.03274241366749009,-0.17770852596290226,-0.1615401891675302,0.05382724084941215,-0.014807247052295913,-0.07496516275247433
FairGB/Bail,22,1,200,636,86,True,0.010736367101046085,-0.15286789118281535,-0.16962549320865083,0.04106658263768359,0.011205965015295916,0.02153784116256885
FairGB/Bail,22,2,500,620,62,True,0.025404992148111427,-0.0837555462043246,-0.12564378722991576,0.04728103485748747,-0.06787777885185173,-0.0971436009208263
FairGB/Bail,22,3,500,521,43,True,0.030352600306728705,-0.07561542339814548,-0.05989454395107996,0.07469979536111038,-0.12299412202062765,-0.08745042391698277
FairGB/Bail,22,4,300,500,60,True,0.03943746881438015,-0.1783359608216163,-0.10362358417853013,0.04106715660614735,-0.07933708955752189,-0.11217848921193818
FairGB/Bail,23,0,100,1244,106,True,-0.015902848567221683,-0.15945585621705394,-0.03546918789859743,0.06859066635442779,0.010133179859092512,0.009042217015762022
FairGB/Bail,23,1,200,1051,83,True,0.020512197977794355,-0.03973409294460378,-0.002685086470509357,0.04627525078595418,0.03124289346365705,-0.056352342587922766
