method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
FairVGNN,credit,default,negDP,6,30,-0.0001331278850176,False,-0.00013312788501763118,-0.034426336903418564,0.0341600811333833,0.6666666666666666,False,False,0,False,True,-3.117081245895825e-17
FairVGNN,credit,default,negEO,6,30,-0.013855628418542,False,-0.013855628418542017,-0.052026312547913345,0.024315055710829314,0.6666666666666666,False,False,0,False,True,-1.734723475976807e-17
FairVGNN,german,default,dAUC,6,30,0.0125409523809523,False,0.012540952380952368,-0.023628860313823663,0.0487107650757284,0.6666666666666666,False,False,0,False,True,6.765421556309548e-17
FairVGNN,german,default,negDP,6,30,-0.0028977891748784,False,-0.002897789174878497,-0.14424075083958277,0.1384451724898258,0.5,False,False,0,False,True,-9.71445146547012e-17
FairVGNN,german,default,negEO,6,30,-0.0025494787631364,False,-0.0025494787631364538,-0.16014277218533893,0.155043814659066,0.5,False,False,0,False,True,-5.377642775528102e-17
GEAR,bail,default,dAUC,6,30,0.0026206539107915,False,0.002620653910791503,-0.0017517642013289568,0.0069930720229119635,0.6666666666666666,False,False,0,False,True,3.0357660829594124e-18
GEAR,bail,default,negDP,6,30,0.0160001766583128,False,0.0160001766583128,-0.0344343632389732,0.06643471655559881,0.6666666666666666,False,False,0,False,True,0.0
GEAR,bail,default,negEO,6,30,0.0245984025657403,False,0.024598402565740324,-0.008957131378069031,0.058153936509549684,0.8333333333333334,False,False,1,False,False,2.42861286636753e-17
NIFTY,bail,default,dAUC,6,30,-0.0258714308089945,False,-0.025871430808994508,-0.043037465062863295,-0.00870539655512572,1.0,True,True,6,True,False,-6.938893903907228e-18
NIFTY,bail,default,negDP,6,30,0.0009530856305772,False,0.0009530856305772528,-0.006162887812817758,0.008069059073972264,0.5,False,False,0,False,True,5.2800645800044066e-17
NIFTY,bail,default,negEO,6,30,-0.0004357785145975,False,-0.0004357785145975,-0.0034494394110323565,0.0025778823818373565,0.6666666666666666,False,False,0,False,True,0.0
NIFTY,credit,default,dAUC,6,30,-0.0230841635261287,True,-0.023084163526128725,-0.03285489394943341,-0.013313433102824039,1.0,True,True,6,True,False,-2.42861286636753e-17
NIFTY,credit,default,negDP,6,30,0.0166870133393151,True,0.016687013339315118,0.010422188401967007,0.02295183827666323,1.0,True,True,6,True,False,1.734723475976807e-17
NIFTY,credit,default,negEO,6,30,0.0163007247582631,True,0.01630072475826315,0.008058682051811992,0.02454276746471431,1.0,True,True,6,True,False,4.85722573273506e-17
NIFTY,german,default,dAUC,6,30,-0.0305892063492063,False,-0.030589206349206324,-0.0443194494195499,-0.01685896327886275,1.0,True,True,6,True,False,-2.42861286636753e-17
NIFTY,german,default,negDP,6,30,-0.0064518468813407,False,-0.006451846881340765,-0.03755393281284376,0.024650239050162233,0.6666666666666666,False,False,0,False,True,-6.505213034913027e-17
NIFTY,german,default,negEO,6,30,0.0042446404684805,False,0.004244640468480542,-0.03575086365870413,0.04424014459566521,0.5,False,False,0,False,True,4.163336342344337e-17
SFG,bail,default,dAUC,6,30,0.0021207433223233,False,0.0021207433223233564,-0.0079213913396879,0.012162877984334613,0.6666666666666666,False,False,0,False,True,5.637851296924623e-17
SFG,bail,default,negDP,6,30,0.0201552886938429,False,0.020155288693842952,-0.009338685980221636,0.04964926336790754,0.6666666666666666,False,False,0,False,True,5.204170427930421e-17
SFG,bail,default,negEO,6,30,0.0070047752223897,False,0.007004775222389704,-0.014081264146765603,0.028090814591545013,0.6666666666666666,False,False,0,False,True,4.336808689942018e-18
SFG,credit,default,dAUC,6,30,-0.0090243333681794,False,-0.009024333368179432,-0.012717323377133377,-0.005331343359225487,1.0,False,False,0,False,True,-3.122502256758253e-17
SFG,credit,default,negDP,6,30,-0.001464511912181,False,-0.001464511912181086,-0.02591645589282497,0.0229874320684628,0.3333333333333333,False,False,0,False,True,-8.608565249534905e-17
SFG,credit,default,negEO,6,30,0.001107417091987,False,0.0011074170919870329,-0.01425958081614966,0.016474415000123727,0.6666666666666666,False,False,0,False,True,3.2959746043559335e-17
SFG,german,default,dAUC,6,30,-0.0118730158730158,False,-0.011873015873015867,-0.026314379785095775,0.0025683480390640417,0.8333333333333334,False,False,1,False,False,-6.765421556309548e-17
SFG,german,default,negDP,6,30,0.0733933258456793,False,0.07339332584567933,0.05820145081259827,0.08858520087876039,1.0,True,True,6,True,False,2.7755575615628914e-17
SFG,german,default,negEO,6,30,0.0646896816114152,False,0.06468968161141524,0.04129673997439408,0.0880826232484364,1.0,True,True,6,True,False,4.163336342344337e-17
